config_tag,exp_group,seed,run,best_val,best_test
baseline_q0,baseline,100,0,0.798,0.793
baseline_q1,baseline,100,0,0.798,0.793
sch_q0,schannel,100,0,0.798,0.793
sch_q1,schannel,100,0,0.798,0.793
sch_q2,schannel,100,0,0.798,0.793
sch_q3,schannel,100,0,0.798,0.793
sch_q4,schannel,100,0,0.798,0.793
sch_q5,schannel,100,0,0.798,0.793
sch_q6,schannel,100,0,0.798,0.793
sch_q7,schannel,100,0,0.798,0.793
sch_q8,schannel,100,0,0.798,0.793
sch_q9,schannel,100,0,0.798,0.793
sch_q10,schannel,100,0,0.798,0.793
baseline_q0,baseline,101,0,0.798,0.793
baseline_q1,baseline,101,0,0.798,0.793
sch_q0,schannel,101,0,0.798,0.793
sch_q1,schannel,101,0,0.798,0.793
sch_q2,schannel,101,0,0.798,0.793
sch_q3,schannel,101,0,0.798,0.793
sch_q4,schannel,101,0,0.798,0.793
sch_q5,schannel,101,0,0.798,0.793
sch_q6,schannel,101,0,0.798,0.793
sch_q7,schannel,101,0,0.798,0.793
sch_q8,schannel,101,0,0.798,0.793
sch_q9,schannel,101,0,0.798,0.793
sch_q10,schannel,101,0,0.798,0.793
baseline_q0,baseline,102,0,0.798,0.793
baseline_q1,baseline,102,0,0.798,0.793
sch_q0,schannel,102,0,0.798,0.793
sch_q1,schannel,102,0,0.798,0.793
sch_q2,schannel,102,0,0.798,0.793
sch_q3,schannel,102,0,0.798,0.793
sch_q4,schannel,102,0,0.798,0.793
sch_q5,schannel,102,0,0.798,0.793
sch_q6,schannel,102,0,0.798,0.793
sch_q7,schannel,102,0,0.798,0.793
sch_q8,schannel,102,0,0.798,0.793
sch_q9,schannel,102,0,0.798,0.793
sch_q10,schannel,102,0,0.798,0.793
baseline_q0,baseline,103,0,0.798,0.793
baseline_q1,baseline,103,0,0.798,0.793
sch_q0,schannel,103,0,0.798,0.793
sch_q1,schannel,103,0,0.798,0.793
sch_q2,schannel,103,0,0.798,0.793
sch_q3,schannel,103,0,0.798,0.793
sch_q4,schannel,103,0,0.798,0.793
sch_q5,schannel,103,0,0.798,0.793
sch_q6,schannel,103,0,0.798,0.793
sch_q7,schannel,103,0,0.798,0.793
sch_q8,schannel,103,0,0.798,0.793
sch_q9,schannel,103,0,0.798,0.793
sch_q10,schannel,103,0,0.798,0.793
baseline_q0,baseline,104,0,0.798,0.793
baseline_q1,baseline,104,0,0.798,0.793
sch_q0,schannel,104,0,0.798,0.793
sch_q1,schannel,104,0,0.798,0.793
sch_q2,schannel,104,0,0.798,0.793
sch_q3,schannel,104,0,0.798,0.793
sch_q4,schannel,104,0,0.798,0.793
sch_q5,schannel,104,0,0.798,0.793
sch_q6,schannel,104,0,0.798,0.793
sch_q7,schannel,104,0,0.798,0.793
sch_q8,schannel,104,0,0.798,0.793
sch_q9,schannel,104,0,0.798,0.793
sch_q10,schannel,104,0,0.798,0.793
